ad_id,campaign_id,ad_platform,ad_type,target_gender,target_age_group,target_interests
150,24,Facebook,Carousel,All,All,sports
151,34,Facebook,Carousel,All,35-44,fashion
152,24,Instagram,Carousel,Male,18-24,"gaming, news"
153,46,Facebook,Video,All,18-24,photography
154,27,Instagram,Stories,Female,All,"fitness, technology"
155,30,Facebook,Video,All,25-34,food
156,33,Instagram,Video,Female,18-24,"fitness, health"
157,32,Instagram,Stories,Male,All,"news, sports"
158,24,Instagram,Carousel,Female,18-24,fashion
159,13,Instagram,Stories,All,25-34,"finance, travel"
160,42,Instagram,Stories,All,25-34,"news, art"
161,15,Facebook,Image,Female,18-24,"art, finance"
162,6,Instagram,Carousel,All,35-44,gaming
163,29,Facebook,Carousel,Female,25-34,photography
164,25,Instagram,Stories,Male,25-34,fashion
165,6,Facebook,Carousel,Male,25-34,gaming
166,14,Instagram,Image,All,All,fashion
167,42,Instagram,Carousel,All,25-34,art
168,39,Facebook,Image,Male,All,"travel, finance"
169,17,Facebook,Video,Female,All,art
170,40,Instagram,Image,Male,35-44,sports
171,13,Instagram,Stories,Male,All,health
172,9,Facebook,Stories,Female,18-24,fitness
173,47,Facebook,Stories,Male,All,"gaming, food"
174,27,Facebook,Carousel,Female,35-44,"travel, finance"
175,3,Facebook,Image,Male,25-34,"lifestyle, fitness"
176,13,Instagram,Video,All,25-34,technology
177,46,Instagram,Carousel,Female,35-44,travel
178,24,Facebook,Stories,All,18-24,art
179,5,Instagram,Stories,All,35-44,art
180,47,Instagram,Image,Male,18-24,"finance, sports"
181,37,Instagram,Stories,Male,35-44,"gaming, art"
182,44,Instagram,Image,Female,35-44,"fashion, news"
183,20,Instagram,Stories,All,All,gaming
184,40,Instagram,Image,Male,25-34,travel
185,36,Instagram,Carousel,Female,All,"sports, food"
186,9,Facebook,Carousel,All,All,fitness
187,31,Facebook,Image,All,25-34,art
188,9,Instagram,Image,Female,18-24,"sports, health"
189,41,Facebook,Image,All,All,"fashion, technology"
190,33,Facebook,Image,Male,18-24,"photography, technology"
191,19,Facebook,Image,All,25-34,lifestyle
192,47,Facebook,Carousel,Female,35-44,fashion
193,5,Instagram,Carousel,All,25-34,finance
194,41,Facebook,Image,All,18-24,"food, travel"
195,9,Instagram,Carousel,Female,35-44,"technology, fashion"
196,12,Facebook,Stories,Male,35-44,"gaming, sports"
197,9,Facebook,Stories,All,All,"lifestyle, gaming"
198,34,Facebook,Video,All,35-44,"fitness, lifestyle"
199,15,Instagram,Video,Male,25-34,"art, news"
200,44,Instagram,Carousel,Male,18-24,photography
